GWAS Trait	Gene	MR_outcome	MR_exposure	method	nsnp	b	se	pval	MR_dir	MR_source	MR_QTL
SCZ	ALKBH1	SCZ	ALKBH1	Wald ratio	1	0.090375999	0.03586253	1.17E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	REEP1	SCZ	REEP1	Wald ratio	1	0.073838041	0.029335599	1.18E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	DPY19L1	SCZ	DPY19L1	Wald ratio	1	-0.051509022	0.020468036	1.19E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	KCNS3	SCZ	KCNS3	Wald ratio	1	0.065119334	0.025878549	1.19E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	LILRA4	SCZ	LILRA4	Wald ratio	1	0.044448581	0.017666217	1.19E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	TMEM59L	TMEM59L	SCZ	Wald ratio	1	0.981517962	0.390270596	1.19E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	CALHM2	SCZ	CALHM2	Wald ratio	1	-0.062450734	0.02486276	1.20E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	SULF1	SCZ	SULF1	Wald ratio	1	0.071472613	0.028457508	1.20E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ZNF233	SCZ	ZNF233	Wald ratio	1	0.069387302	0.027628789	1.20E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	KLHL25	SCZ	KLHL25	Wald ratio	1	-0.108896717	0.043381689	1.21E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	CENATAC	SCZ	CENATAC	Wald ratio	1	-0.051349925	0.020456507	1.21E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	GRIK4	SCZ	GRIK4	Wald ratio	1	0.130119714	0.051838372	1.21E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	WBP2	SCZ	WBP2	Wald ratio	1	-0.075544923	0.030129828	1.22E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
